Bike_Name,Manufacturer,Model,Ex_Showroom_Price_Lakh,On_Road_Price_Est_Lakh,Insurance_Annual_Est,EMI_2000_Down_36m,Price_Score,Insurance_Score,Displacement_CC,Power_PS,Torque_Nm,Mileage_KMPL,Power_to_Weight_Ratio,Displacement_Score,Power_Score,Torque_Score,Mileage_Score,Power_to_Weight_Score,Engine_Configuration,Cooling_System,Transmission,Number_of_Gears,Engine_Config_Score,Cooling_Score,Transmission_Score,Braking_System,ABS_Score,Seat_Height_MM,Kerb_Weight_KG,Seat_Height_Score,Weight_Score,Fuel_Tank_Capacity_L,Theoretical_Range_KM,Fuel_Tank_Score,Range_Score,Brand_Reputation_Score,Service_Network_Score,Spare_Parts_Score,Overall_Weighted_Score,Value_for_Money
Aprilia RS 457,Aprilia,RS 457,4.23,5.08,5656,3970.0,4,4,457.0,47.6,43.5,30.0,299.37,7,5,7,7,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,800,159.0,10,4,13.0,390.0,7,7,7,5,5,6.72,7.25
Aprilia Tuono 457,Aprilia,Tuono 457,3.95,4.74,5656,3707.0,5,4,457.0,47.6,43.5,25.5,299.37,7,5,7,6,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,800,159.0,10,4,13.0,332.0,7,6,7,5,5,6.64,5.6
BSA Gold Star 650,BSA,Gold Star 650,2.99,3.59,7216,2806.0,7,2,652.0,45.0,55.0,25.0,211.27,10,5,9,6,10,Single,Liquid-cooled,5-speed,5,6,9,6,Dual-channel ABS,10,780,213.0,10,2,12.0,300.0,7,6,6,4,4,6.4,3.86
Bajaj Dominar 250,Bajaj,Dominar 250,1.92,2.3,3990,1802.0,9,6,248.77,27.0,23.5,35.03,150.0,3,3,3,8,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,800,180.0,10,3,13.0,455.0,7,9,8,10,10,7.8,3.22
Bajaj Dominar 400,Bajaj,Dominar 400,2.39,2.87,4986,2243.0,8,5,373.3,40.0,35.0,27.0,207.25,5,5,5,6,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,800,193.0,10,3,13.0,351.0,7,7,8,10,10,7.48,3.62
Bajaj Pulsar NS400Z,Bajaj,Pulsar NS400Z,1.85,2.22,4986,1736.0,9,5,373.3,40.0,35.0,30.0,236.69,5,5,5,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,805,169.0,8,4,12.0,360.0,7,7,8,10,10,7.62,3.33
CFMoto 300NK,CFMoto,300NK,2.99,3.59,4339,2806.0,7,5,292.4,25.3,22.5,30.0,167.55,4,3,3,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,795,151.0,10,4,12.5,375.0,7,7,5,3,3,6.4,3.57
CFMoto 650NK,CFMoto,650NK,4.99,5.99,7194,4684.0,3,2,649.3,60.5,56.5,25.0,308.67,9,7,9,6,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,795,196.0,10,3,16.0,400.0,9,8,5,3,3,6.34,9.33
CFMoto 650MT,CFMoto,650MT,5.49,6.59,7194,5153.0,2,2,649.3,60.5,56.5,23.0,284.04,9,7,9,5,10,Twin,Liquid-cooled,6-speed,6,8,9,7,Dual-channel ABS,10,850,213.0,6,2,18.0,414.0,10,8,5,3,3,5.72,13.5
Harley-Davidson X440,Harley-Davidson,X440,2.6,3.12,5520,2440.0,7,4,440.0,27.37,38.0,35.0,143.67,6,3,6,8,10,Single,Air-oil cooled,6-speed,6,6,7,7,Dual-channel ABS,10,805,190.5,8,3,13.5,472.0,8,9,9,6,6,6.96,4.29
Honda CB350 H'ness,Honda,CB350 H'ness,2.13,2.56,4786,2004.0,8,5,348.36,21.07,30.0,45.8,112.67,5,2,5,10,10,Single,Air-cooled,5-speed,5,6,5,6,Dual-channel ABS,10,800,187.0,10,3,15.0,687.0,9,10,9,10,10,7.68,3.88
Honda CB350RS,Honda,CB350RS,1.97,2.36,4786,1849.0,9,5,348.36,20.78,29.5,42.17,111.12,5,2,4,10,10,Single,Air-cooled,5-speed,5,6,5,6,Dual-channel ABS,10,800,187.0,10,3,15.2,641.0,9,10,9,10,10,7.8,3.44
Honda CB350,Honda,CB350,2.17,2.6,4789,2037.0,8,5,348.66,20.7,29.4,35.0,111.29,5,2,4,8,10,Single,Air-cooled,5-speed,5,6,5,6,Dual-channel ABS,10,800,186.0,10,3,15.2,532.0,9,10,9,10,10,7.44,3.62
Jawa 42,Jawa,42,1.77,2.13,4357,1666.0,9,5,294.72,27.32,28.0,37.5,160.71,4,3,4,9,10,Single,Liquid-cooled,6-speed,6,6,9,7,Single/Dual-channel ABS,10,765,170.0,10,4,14.0,525.0,8,10,6,6,6,7.5,3.11
Jawa 42 Bobber,Jawa,42 Bobber,2.06,2.47,4357,1933.0,8,5,294.72,29.51,28.0,35.0,168.63,4,3,4,8,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,765,175.0,10,4,14.0,490.0,8,9,6,6,6,7.18,3.38
Jawa Perak,Jawa,Perak,2.13,2.56,4672,1999.0,8,5,334.0,30.64,31.0,30.0,175.09,5,3,5,7,10,Single,Liquid-cooled,6-speed,6,6,9,7,Dual-channel ABS,10,750,175.0,10,4,14.0,420.0,8,8,6,6,6,6.98,3.25
